Clavage	N	Type	abundance	subject_id
False	125	J	188	IGHJ4
True	126	V	19	IGHV1-2
True	126	D left	19	IGHD5-5
True	126	D right	19	IGHD5-5
False	126	J	19	IGHJ4
True	127	V	30	IGHV5-51
True	127	D left	30	IGHD5/OR15-5b
True	127	D right	30	IGHD5/OR15-5b
True	127	J	30	IGHJ6
False	128	V	24	IGHV1-18
True	128	D left	24	IGHD6-13
True	128	D right	24	IGHD6-13
True	128	J	24	IGHJ6
True	129	V	129	IGHV3-11
True	129	D left	129	IGHD1-7
False	129	D right	129	IGHD1-7
False	129	J	129	IGHJ4
True	130	V	205	IGHV2-5
True	130	D left	205	IGHD7-27
False	130	D right	205	IGHD7-27
True	130	J	205	IGHJ6
True	131	V	52	IGHV6-1
True	131	D left	52	IGHD5-12
False	131	D right	52	IGHD5-12
True	131	J	52	IGHJ4
False	132	V	60	IGHV1-18
True	132	D left	60	IGHD2-2
True	132	D right	60	IGHD2-2
False	133	V	34	IGHV5-51
True	133	D left	34	IGHD6-19
True	133	D right	34	IGHD6-19
True	133	J	34	IGHJ5
True	134	V	28	IGHV4-4
True	134	D left	28	IGHD1-26
True	134	D right	28	IGHD1-26
True	134	J	28	IGHJ2
False	135	V	294	IGHV4-30-4
True	135	D left	294	IGHD6-6
True	135	D right	294	IGHD6-6
True	135	J	294	IGHJ2
False	136	V	17	IGHV3-48
False	136	D left	17	IGHD6-13
True	136	D right	17	IGHD6-13
False	136	J	17	IGHJ4
True	137	V	66	IGHV6-1
True	137	D left	66	IGHD6-13
True	137	D right	66	IGHD6-13
True	137	J	66	IGHJ5
True	138	V	313	IGHV1-18
True	138	D left	313	IGHD1-7
True	138	D right	313	IGHD1-7
True	139	V	24	IGHV4-39
True	139	D left	24	IGHD5-24
True	139	D right	24	IGHD5-24
True	139	J	24	IGHJ4
True	140	V	39	IGHV4-34
True	140	D left	39	IGHD1-26
True	140	D right	39	IGHD1-26
True	140	J	39	IGHJ4
False	141	V	23	IGHV1-69
True	141	D left	23	IGHD3-10
True	141	D right	23	IGHD3-10
True	141	J	23	IGHJ6
False	142	V	26	IGHV3-30-3
True	142	D left	26	IGHD4-11
False	142	D right	26	IGHD4-11
True	142	J	26	IGHJ4
True	143	V	37	IGHV3-43
True	143	D left	37	IGHD1-26
True	143	D right	37	IGHD1-26
True	143	J	37	IGHJ4
True	144	V	15	IGHV3-11
True	144	D left	15	IGHD3-22
True	144	D right	15	IGHD3-22
True	144	J	15	IGHJ4
False	145	V	29	IGHV1-2
True	145	D left	29	IGHD5-5
False	145	D right	29	IGHD5-5
True	145	J	29	IGHJ5
False	146	V	259	IGHV3-9
True	146	D left	259	IGHD2-8
True	146	D right	259	IGHD2-8
True	146	J	259	IGHJ5
True	147	V	7	IGHV3-13
True	147	D left	7	IGHD2-15
True	147	D right	7	IGHD2-15
True	147	J	7	IGHJ6
False	148	V	31	IGHV4-59
True	148	D left	31	IGHD4-17
True	148	D right	31	IGHD4-17
True	148	J	31	IGHJ6
True	149	V	412	IGHV1-2
True	149	D left	412	IGHD2-2
True	149	D right	412	IGHD2-2
True	149	J	412	IGHJ6
False	150	V	15	IGHV3-15
True	150	D left	15	IGHD1-26
True	150	D right	15	IGHD1-26
True	150	J	15	IGHJ4
False	151	V	109	IGHV1-8
True	151	D left	109	IGHD5-12
True	151	D right	109	IGHD5-12
True	151	J	109	IGHJ6
False	152	V	21	IGHV3-48
True	152	D left	21	IGHD3-16
True	152	D right	21	IGHD3-16
True	152	J	21	IGHJ6
True	153	V	51	IGHV5-51
True	153	D left	51	IGHD2-15
False	153	D right	51	IGHD2-15
True	153	J	51	IGHJ5
False	154	V	571	IGHV4-b
True	154	D left	571	IGHD2-15
True	154	D right	571	IGHD2-15
False	154	J	571	IGHJ4
True	155	V	253	IGHV3-48
True	155	D left	253	IGHD3-10
True	155	D right	253	IGHD3-10
True	155	J	253	IGHJ4
True	156	V	39	IGHV4-39
True	156	D left	39	IGHD3-3
True	156	D right	39	IGHD3-3
True	156	J	39	IGHJ4
True	157	V	47	IGHV4-59
True	157	D left	47	IGHD2-15
True	157	D right	47	IGHD2-15
True	157	J	47	IGHJ4
True	158	V	28	IGHV4-34
True	158	D left	28	IGHD4-17
False	158	D right	28	IGHD4-17
True	158	J	28	IGHJ6
True	159	V	21	IGHV4-30-2
True	159	J	21	IGHJ1
True	160	V	29	IGHV3-9
True	160	D left	29	IGHD2-15
True	160	D right	29	IGHD2-15
True	160	J	29	IGHJ5
True	161	V	21	IGHV1-18
True	161	D left	21	IGHD1-14
True	161	D right	21	IGHD1-14
True	161	J	21	IGHJ6
False	162	V	61	IGHV4-b
True	162	D left	61	IGHD3-10
True	162	D right	61	IGHD3-10
False	162	J	61	IGHJ5
False	163	V	23	IGHV4-39
True	163	D left	23	IGHD2-2
True	163	D right	23	IGHD2-2
True	163	J	23	IGHJ6
False	164	V	11	IGHV3-30-3
True	164	D left	11	IGHD6-19
False	164	D right	11	IGHD6-19
True	164	J	11	IGHJ6
True	165	V	45	IGHV3-73
True	165	D left	45	IGHD6-19
False	165	D right	45	IGHD6-19
True	165	J	45	IGHJ4
True	166	V	103	IGHV3-66
True	166	D left	103	IGHD6-19
True	166	D right	103	IGHD6-19
True	167	V	31	IGHV3-9
False	167	D left	31	IGHD3-3
True	167	D right	31	IGHD3-3
True	167	J	31	IGHJ6
False	168	V	44	IGHV1-2
True	168	D left	44	IGHD3-10
True	168	D right	44	IGHD3-10
True	168	J	44	IGHJ4
False	169	V	12	IGHV4-39
False	169	D left	12	IGHD5-5
True	169	D right	12	IGHD5-5
True	169	J	12	IGHJ4
True	170	V	341	IGHV4-34
True	170	D left	341	IGHD6-13
True	170	D right	341	IGHD6-13
True	170	J	341	IGHJ6
True	171	V	55	IGHV1-69
True	171	D left	55	IGHD3-16
True	171	D right	55	IGHD3-16
True	171	J	55	IGHJ6
False	172	V	38	IGHV4-b
True	172	D left	38	IGHD4-17
True	172	D right	38	IGHD4-17
True	172	J	38	IGHJ4
False	173	V	101	IGHV1-8
True	173	D left	101	IGHD2-15
False	173	D right	101	IGHD2-15
True	173	J	101	IGHJ6
True	174	V	435	IGHV1-3
True	174	D left	435	IGHD6-19
True	174	D right	435	IGHD6-19
True	174	J	435	IGHJ2
True	175	V	72	IGHV3-15
False	175	D left	72	IGHD6-6
True	175	D right	72	IGHD6-6
False	175	J	72	IGHJ6
False	176	V	123	IGHV4-34
True	176	D left	123	IGHD5-12
True	176	D right	123	IGHD5-12
True	176	J	123	IGHJ5
True	177	V	11	IGHV3-21
True	177	D left	11	IGHD3-22
True	177	D right	11	IGHD3-22
True	177	J	11	IGHJ4
True	178	V	35	IGHV5-51
True	178	D left	35	IGHD3-16
True	178	D right	35	IGHD3-16
True	178	J	35	IGHJ6
False	179	V	14	IGHV3-48
True	179	D left	14	IGHD1-20
False	179	D right	14	IGHD1-20
True	179	J	14	IGHJ6
True	180	V	45	IGHV1-3
True	180	D left	45	IGHD2-2
True	180	D right	45	IGHD2-2
True	180	J	45	IGHJ4
False	181	V	66	IGHV4-b
True	181	D left	66	IGHD4-11
True	181	D right	66	IGHD4-11
True	181	J	66	IGHJ4
False	182	V	28	IGHV5-a
True	182	D left	28	IGHD1-26
True	182	D right	28	IGHD1-26
True	182	J	28	IGHJ6
True	183	V	157	IGHV3-64D
True	183	D left	157	IGHD7-27
False	183	D right	157	IGHD7-27
True	183	J	157	IGHJ2
True	184	V	28	IGHV3-15
True	184	D left	28	IGHD6-19
True	184	D right	28	IGHD6-19
True	184	J	28	IGHJ6
False	185	V	9	IGHV3-30-3
False	185	D left	9	IGHD1-26
True	185	D right	9	IGHD1-26
True	185	J	9	IGHJ4
True	186	V	16	IGHV4-39
True	186	D left	16	IGHD5-5
True	186	D right	16	IGHD5-5
True	186	J	16	IGHJ4
False	187	V	10	IGHV4-59
True	187	D left	10	IGHD3-3
True	187	D right	10	IGHD3-3
True	187	J	10	IGHJ5
True	188	V	73	IGHV1-69
True	188	D left	73	IGHD5-24
True	188	D right	73	IGHD5-24
False	189	V	407	IGHV1-8
True	189	D left	407	IGHD1-26
True	189	D right	407	IGHD1-26
True	189	J	407	IGHJ2
True	190	V	54	IGHV4-34
True	190	D left	54	IGHD2-15
True	190	D right	54	IGHD2-15
True	190	J	54	IGHJ4
True	191	V	39	IGHV4-34
True	191	D left	39	IGHD5-5
False	191	D right	39	IGHD5-5
True	191	J	39	IGHJ4
True	192	V	17	IGHV3-48
True	192	D left	17	IGHD5/OR15-5b
True	192	D right	17	IGHD5/OR15-5b
True	192	J	17	IGHJ5
False	193	V	84	IGHV1-69
False	193	D left	84	IGHD4-11
False	193	D right	84	IGHD4-11
True	193	J	84	IGHJ6
True	194	V	46	IGHV4-34
True	194	D left	46	IGHD3-3
True	194	D right	46	IGHD3-3
False	194	J	46	IGHJ5
True	195	V	26	IGHV4-b
True	195	D left	26	IGHD3-3
True	195	D right	26	IGHD3-3
True	195	J	26	IGHJ4
False	196	V	136	IGHV3-15
True	196	D left	136	IGHD7-27
True	196	D right	136	IGHD7-27
True	196	J	136	IGHJ6
True	197	V	77	IGHV3-15
True	197	D left	77	IGHD3-22
True	197	D right	77	IGHD3-22
True	197	J	77	IGHJ4
True	198	V	17	IGHV4-34
True	198	D left	17	IGHD6-13
False	198	D right	17	IGHD6-13
True	198	J	17	IGHJ5
False	199	V	122	IGHV1-69
True	199	D left	122	IGHD5-24
True	199	D right	122	IGHD5-24
True	199	J	122	IGHJ6
False	200	V	5	IGHV1-69
True	200	D left	5	IGHD3-3
True	200	D right	5	IGHD3-3
True	200	J	5	IGHJ6
True	201	V	10	IGHV3-73
True	201	D left	10	IGHD1-26
True	201	D right	10	IGHD1-26
True	201	J	10	IGHJ5
True	202	V	26	IGHV3-43D
True	202	D left	26	IGHD6-19
True	202	D right	26	IGHD6-19
True	202	J	26	IGHJ6
True	203	V	110	IGHV3-23
True	203	D left	110	IGHD2-2
True	203	D right	110	IGHD2-2
True	203	J	110	IGHJ4
False	204	V	23	IGHV4-39
True	204	D left	23	IGHD5-5
True	204	D right	23	IGHD5-5
True	204	J	23	IGHJ4
True	205	V	255	IGHV3-21
True	205	D left	255	IGHD2-15
True	205	D right	255	IGHD2-15
True	205	J	255	IGHJ6
True	206	V	12	IGHV3-21
False	206	D left	12	IGHD2-15
True	206	D right	12	IGHD2-15
False	206	J	12	IGHJ4
True	207	V	21	IGHV4-59
True	207	D left	21	IGHD3-3
True	207	D right	21	IGHD3-3
True	207	J	21	IGHJ4
True	208	V	80	IGHV4-34
True	208	D left	80	IGHD3-22
True	208	D right	80	IGHD3-22
True	208	J	80	IGHJ4
False	209	V	71	IGHV3-33
True	209	D left	71	IGHD2-15
True	209	D right	71	IGHD2-15
True	209	J	71	IGHJ6
True	210	V	245	IGHV1-2
True	211	V	10	IGHV3-21
True	211	D left	10	IGHD6-13
True	211	D right	10	IGHD6-13
True	211	J	10	IGHJ4
True	212	V	13	IGHV2-5
True	212	D left	13	IGHD3-22
True	212	D right	13	IGHD3-22
True	212	J	13	IGHJ4
True	213	V	10	IGHV3-48
True	213	D left	10	IGHD5-12
True	213	D right	10	IGHD5-12
True	213	J	10	IGHJ4
True	214	V	74	IGHV2-26
True	214	D left	74	IGHD3-22
False	214	D right	74	IGHD3-22
True	214	J	74	IGHJ6
True	215	V	40	IGHV1-69
True	215	D left	40	IGHD1-26
True	215	D right	40	IGHD1-26
True	215	J	40	IGHJ4
False	216	V	505	IGHV3-11
True	216	D left	505	IGHD3-16
True	216	D right	505	IGHD3-16
False	217	V	173	IGHV4-59
True	217	D left	173	IGHD3-10
True	217	D right	173	IGHD3-10
True	218	V	17	IGHV4-30-4
True	218	D left	17	IGHD3-10
True	218	D right	17	IGHD3-10
True	218	J	17	IGHJ4
True	219	V	20	IGHV4-34
